level_0,level_1,0,column1,column2
1929,67,"[601485.5590524953, 67]",601485.5590524953,67
1929,68,"[786803.2597965691, 68]",786803.2597965691,68
1929,69,"[997509.1727700903, 69]",997509.1727700903,69
1929,70,"[1183843.8862435431, 70]",1183843.8862435431,70
1929,71,"[1037165.6287379682, 71]",1037165.6287379682,71
1929,72,"[884702.2813134869, 72]",884702.2813134869,72
1929,73,"[676354.8940641608, 73]",676354.8940641608,73
1929,74,"[852748.2504360939, 74]",852748.2504360939,74
1929,75,"[921650.3090713302, 75]",921650.3090713302,75
1929,76,"[934922.0735219574, 76]",934922.0735219574,76
1929,77,"[1050665.4262239756, 77]",1050665.4262239756,77
1929,78,"[1078297.9269336662, 78]",1078297.9269336662,78
1929,79,"[642773.3942451584, 79]",642773.3942451584,79
1929,80,"[811822.7969316351, 80]",811822.7969316351,80
1929,81,"[918821.0415672247, 81]",918821.0415672247,81
1929,82,"[909081.5385266121, 82]",909081.5385266121,82
1929,83,"[1034716.6071509899, 83]",1034716.6071509899,83
1929,84,"[1352271.1338856288, 84]",1352271.1338856288,84
1929,85,"[1513191.3988180186, 85]",1513191.3988180186,85
1929,86,"[1532257.6104431257, 86]",1532257.6104431257,86
1929,87,"[1693297.8853006982, 87]",1693297.8853006982,87
1929,88,"[2023152.3133572743, 88]",2023152.3133572743,88
1929,89,"[1887196.4778996655, 89]",1887196.4778996655,89
1929,90,"[2442975.8406411167, 90]",2442975.8406411167,90
1929,91,"[2852907.186700696, 91]",2852907.186700696,91
1930,0,"[7722.0, 0]",7722.0,0
1930,1,"[5030.1108, 1]",5030.1108,1
1930,2,"[5091.98116284, 2]",5091.98116284,2
1930,3,"[7897.1535854485555, 3]",7897.1535854485555,3
1930,4,"[7559.945127349903, 4]",7559.945127349903,4
1930,5,"[10924.12070902061, 5]",10924.12070902061,5
1930,6,"[14253.792701130093, 6]",14253.792701130093,6
1930,7,"[8703.365823310034, 7]",8703.365823310034,7
1930,8,"[11432.74134550006, 8]",11432.74134550006,8
1930,9,"[11469.32611780566, 9]",11469.32611780566,9
1930,10,"[10162.969872987596, 10]",10162.969872987596,10
1930,11,"[8357.0101265577, 11]",8357.0101265577,11
1930,12,"[9049.806266049332, 12]",9049.806266049332,12
1930,13,"[10762.93459221247, 13]",10762.93459221247,13
1930,14,"[12624.922276665227, 14]",12624.922276665227,14
1930,15,"[16860.58370048641, 15]",16860.58370048641,15
1930,16,"[14034.749872284889, 16]",14034.749872284889,16
1930,17,"[12749.166783983594, 17]",12749.166783983594,17
1930,18,"[12447.011531203183, 18]",12447.011531203183,18
1930,19,"[14879.157584400285, 19]",14879.157584400285,19
1930,20,"[19275.94865059057, 20]",19275.94865059057,20
1930,21,"[22321.54853738388, 21]",22321.54853738388,21
1930,22,"[25944.33586500128, 22]",25944.33586500128,22
1930,23,"[25435.826882047255, 23]",25435.826882047255,23
1930,24,"[38614.128789635935, 24]",38614.128789635935,24
1930,25,"[51345.2070515789, 25]",51345.2070515789,25
1930,26,"[54400.24687114784, 26]",54400.24687114784,26
1930,27,"[46909.33287699078, 27]",46909.33287699078,27
1930,28,"[66081.17722381692, 28]",66081.17722381692,28
1930,29,"[73594.6070741649, 29]",73594.6070741649,29
1930,30,"[72579.00149654143, 30]",72579.00149654143,30
1930,31,"[91180.999580105, 31]",91180.999580105,31
